datetime,open,high,low,close,volume
1990/6/5,120.5,121.875,120.125,19.464985,9407600
1990/6/6,120.375,122.25,120.375,19.444835,6174000
1990/6/7,121.25,121.5,119.75,19.444835,5949600
1990/6/8,120.875,120.875,118.625,19.142583,5725200
1990/6/11,118.625,120.25,118.625,19.323934,4326800
1990/6/12,120.125,120.875,119.25,19.384384,5504800
1990/6/13,120.5,122.125,120.25,19.565735,8964000
1990/6/14,121.25,121.875,120.125,19.485135,6793200
1990/6/15,120.375,121.25,120.125,19.404535,8447600
1990/6/18,120.25,120.75,118.625,19.122433,5968000
1990/6/19,118.875,119.125,117.875,19.142583,5782400
1990/6/20,118.75,119.125,117.25,19.021683,4044800
1990/6/21,118,119.125,117.5,19.203034,4004800
1990/6/22,119,119.5,116.25,18.739582,4800400
1990/6/25,116.625,117.25,116.5,18.800032,4504800
1990/6/26,117.625,118,116.5,18.820182,5017600
1990/6/27,116.875,118.125,116.75,19.021683,4606800
1990/6/28,118.25,118.375,117.5,18.961233,3215200
1990/6/29,117.625,118.125,117.375,18.941083,3414800
1990/7/2,117.5,118.75,117.375,19.102283,3664000
1990/7/3,118.625,118.75,117.625,18.961233,2336400
1990/7/5,117.5,117.625,116.875,18.920932,3399200
1990/7/6,117.125,118.5,117,19.021683,2834400
1990/7/9,118.125,119.25,117.875,19.182884,3667200
1990/7/10,119.25,119.75,117.75,18.981383,4976000
1990/7/11,118.125,119.25,117.875,19.203034,4100000
1990/7/12,119,120.375,118.75,19.344084,6945600
1990/7/13,120.625,122.125,120.25,19.505285,8621600
1990/7/16,122,123.125,121.25,19.726936,8924400
1990/7/17,122.5,122.5,119.875,19.464985,6742800
1990/7/18,120.875,121.625,119.875,19.323934,6736400
1990/7/19,119.625,120.125,118.75,19.344084,5743200
1990/7/20,120.125,120.25,117.5,18.961233,7034400
1990/7/23,117.75,117.75,114.125,18.679131,8573200
1990/7/24,115.875,116,113.625,18.497781,6158000
1990/7/25,114.5,115.5,114.25,18.497781,5458800
1990/7/26,114.625,114.625,112.25,18.235829,5483600
1990/7/27,112.75,112.75,110.625,17.953728,7385200
1990/7/30,110.75,112.375,110.5,18.074629,5922800
1990/7/31,112.375,112.875,110.625,17.973878,5477200
1990/8/1,111.875,112.375,110.625,17.994028,6841200
1990/8/2,109,110.75,109,17.691777,7474800
1990/8/3,109.25,109.5,103.75,17.429826,14196800
1990/8/6,103.875,104.375,102.5,16.934229,9140000
1990/8/7,104.625,105,102.5,16.791582,8947200
1990/8/8,103,103.875,102.875,16.81196,7539200
1990/8/9,103.5,103.875,103,16.832338,5054800
1990/8/10,103.25,103.625,101.5,16.628557,5794000
1990/8/13,101.5,104,101,16.913851,6331200
1990/8/14,103.625,105.125,103.125,17.015741,6623600
1990/8/15,105.125,105.25,104.5,17.117632,6059600
1990/8/16,104.25,105.75,103.75,16.913851,8125600
1990/8/17,103,103.375,100.75,16.526666,10562400
1990/8/20,102,102.75,101.875,16.669313,4955200
1990/8/21,100.625,101.75,99.75,16.384019,9559600
1990/8/22,100.75,101,98.875,16.139482,7892000
1990/8/23,96.75,98.375,96.5,15.793053,9709600
1990/8/24,98.5,101,97.875,16.363641,8158400
1990/8/27,103,104.375,102.75,17.015741,6300400
1990/8/28,103.875,104.125,103.375,16.893472,3872400
1990/8/29,103.5,104.375,102.75,16.934229,4578800
1990/8/30,103.875,104.125,101.375,16.5878,4320400
1990/8/31,101.625,101.875,100.375,16.608179,3541600
1990/9/4,101,102.625,100.75,16.710069,4802000
1990/9/5,102.875,103.875,102.25,16.710069,5810400
1990/9/6,102.875,103.5,101.5,16.689691,5388000
1990/9/7,101.875,105.5,101.875,17.199144,6538800
1990/9/10,106.5,107.625,105.5,17.260279,6437600
1990/9/11,106.375,107.75,105.875,17.525195,5752800
1990/9/12,108.375,108.375,107.125,17.586329,4771600
1990/9/13,107.75,107.75,104.75,17.117632,4308000
1990/9/14,104.875,105,103.625,17.015741,5390400
1990/9/17,104.25,105.75,104.125,17.13801,3579600
1990/9/18,105.25,107.625,105.125,17.484438,6796800
1990/9/19,107.875,109.25,107.5,17.667842,8756400
1990/9/20,108.125,109,106.625,17.586329,4854000
1990/9/21,107.625,107.875,105.5,17.402926,8846000
1990/9/24,106.25,106.25,104.5,17.117632,7974800
1990/9/25,105.25,106.5,104.875,17.341791,6181200
1990/9/26,106.5,106.75,104.25,17.178766,6977600
1990/9/27,105.75,106.625,102.875,17.015741,6756400
1990/9/28,103.125,107.125,102.875,17.341791,7900400
1990/10/1,107.125,109.5,107.125,17.769732,7405200
1990/10/2,109.5,110.375,108.25,17.647463,7572400
1990/10/3,108.25,109,107.125,17.504816,4406800
1990/10/4,107.375,108.25,106.375,17.586329,4648000
1990/10/5,106.5,109,106,17.647463,6280000
1990/10/8,108.75,109.5,108.625,17.851245,3605200
1990/10/9,108.375,108.625,105.375,17.178766,5674400
1990/10/10,105.625,106.625,102.875,16.873094,9034400
1990/10/11,103.75,103.875,99.75,16.465532,12455200
1990/10/12,101.75,102,99.5,16.343263,9232400
1990/10/15,100.625,100.875,96.25,16.180238,12485600
1990/10/16,99.375,100.375,98.25,16.200616,6760800
1990/10/17,99.5,101.625,99.375,16.424775,5321200
1990/10/18,102,105.375,101.75,17.178766,7466000
1990/10/19,105.25,109,104.625,17.545573,10602400
1990/10/22,107.625,108.75,106.5,17.565951,7673200
1990/10/23,107.375,108.25,106.625,17.402926,5082800
1990/10/24,106.75,109,106.75,17.708598,6477600
1990/10/25,109,109.25,106.625,17.627085,6368000
1990/10/26,107.375,107.5,106.5,17.423304,4984400
1990/10/29,106.5,107.875,105.125,17.280657,5254400
1990/10/30,106.125,106.875,104.875,17.341791,6556000
1990/10/31,106.5,106.625,104.75,17.199144,5810000
1990/11/1,105.375,107.375,104.875,17.484438,4935600
