datetime,open,high,low,close,volume
1990/4/30,39.25,39.749999,39.000001,1.232477,34098400
1990/5/1,39.749999,40.000001,39.375,1.240302,40902400
1990/5/2,39.749999,40.000001,39.25,1.244215,33857600
1990/5/3,39.749999,40.25,39.749999,1.25204,41577200
1990/5/4,40.000001,40.750001,39.25,1.25204,42383600
1990/5/7,39.749999,41.750001,39.749999,1.298991,33997600
1990/5/8,41,42,41,1.306817,28114800
1990/5/9,41.625001,42,41.25,1.310729,24309600
1990/5/10,41.750001,41.750001,40.499999,1.295079,44760800
1990/5/11,41.374999,42.75,40.750001,1.334205,53810400
1990/5/14,42.75,42.75,41.25,1.306817,56596400
1990/5/15,41.374999,42,41,1.306817,37346400
1990/5/16,41.750001,41.750001,41,1.302904,21826000
1990/5/17,41.750001,42.249999,41,1.298991,38396400
1990/5/18,41.25,41.499999,39.5,1.244215,64615600
1990/5/21,39.5,40.000001,38.749999,1.239822,65620800
1990/5/22,40.125,41.499999,40.000001,1.298674,75272400
1990/5/23,41.25,42.500001,41.25,1.318291,51878400
1990/5/24,42.249999,42.249999,41.499999,1.318291,37032800
1990/5/25,39.5,40.750001,39.000001,1.255516,80830400
1990/5/29,40.000001,41.25,39.25,1.286903,60802000
1990/5/30,41.625001,41.750001,41.25,1.298674,69204800
1990/5/31,41.499999,41.499999,41,1.29475,25771200
1990/6/1,41.374999,42,40.750001,1.279057,39309200
1990/6/4,40.750001,41,39.749999,1.279057,44856000
1990/6/5,41,41,39.000001,1.239822,74858000
1990/6/6,39.000001,39.5,38.749999,1.239822,52936800
1990/6/7,39.5,39.749999,38.5,1.224128,46608800
1990/6/8,38.5,38.5,37.5,1.200587,83470800
1990/6/11,37.75,39.000001,37.75,1.224128,39474400
1990/6/12,39.125001,40.499999,38.749999,1.271209,41258000
1990/6/13,40.375,40.750001,39.749999,1.247669,34736800
1990/6/14,40.000001,40.25,39.25,1.247669,35081200
1990/6/15,39.749999,40.000001,39.125001,1.239822,36036000
1990/6/18,39.25,39.5,39.000001,1.231975,27848800
1990/6/19,39.000001,39.749999,38.375,1.243745,39306400
1990/6/20,39.875001,40.25,39.749999,1.255516,38684800
1990/6/21,40.000001,42,40.000001,1.314368,52150000
1990/6/22,42,42.625001,41.25,1.302597,70994000
1990/6/25,41.499999,41.750001,40.25,1.29475,30500400
1990/6/26,41.750001,42,40.375,1.275133,31813600
1990/6/27,40.750001,42,40.25,1.302597,24306800
1990/6/28,42.75,43.249999,41.750001,1.349679,62484800
1990/6/29,43,44.874999,42.75,1.404608,81298000
1990/7/2,44.5,44.5,43.75,1.381067,33852000
1990/7/3,43.875,44.5,43.75,1.381067,24875200
1990/7/5,43.75,44.250001,43.249999,1.365373,26866000
1990/7/6,43.500001,44.999999,43.249999,1.404608,52264800
1990/7/9,44.999999,47.000001,44.75,1.46346,78864800
1990/7/10,47.000001,47.499999,46.749999,1.475231,90356000
1990/7/11,46.749999,47.000001,45.749999,1.475231,61538400
1990/7/12,46.749999,47.499999,46.5,1.487001,45617600
1990/7/13,47.499999,47.750001,46.749999,1.467384,57744400
1990/7/16,46.749999,47.125,45.250001,1.432072,44926000
1990/7/17,45.749999,46.000001,43.999999,1.388914,34213200
1990/7/18,44.5,44.999999,43,1.400685,72091600
1990/7/19,40.750001,42.500001,40.000001,1.310444,146496000
1990/7/20,42,42.500001,40.750001,1.286903,47961200
1990/7/23,41,41.750001,40.000001,1.302597,67547200
1990/7/24,42,42.249999,41,1.322215,48479200
1990/7/25,42,43.249999,41.750001,1.326138,26230400
1990/7/26,42.249999,42.500001,41,1.298674,20084400
1990/7/27,41.25,41.750001,40.499999,1.298674,15579200
1990/7/30,40.750001,42.500001,40.750001,1.330062,21364000
1990/7/31,42.500001,42.75,41.499999,1.318291,24001600
1990/8/1,42,42.75,41.499999,1.330062,23377200
1990/8/2,41.25,43.75,41.25,1.365373,55781600
1990/8/3,43.500001,43.75,39.749999,1.29475,67242000
1990/8/6,39.000001,40.499999,38.5,1.239822,44914800
1990/8/7,40.25,40.624999,38.749999,1.239822,49632800
1990/8/8,39.5,40.750001,39.5,1.259439,25634000
1990/8/9,40.25,40.499999,39.25,1.239822,24096800
1990/8/10,38.749999,39.25,38.250001,1.216281,25676000
1990/8/13,37.999999,40.000001,37.874999,1.251592,39029200
1990/8/14,40.000001,40.000001,39.25,1.247669,24542000
1990/8/15,40.000001,40.25,39.25,1.231975,23013200
1990/8/16,39.000001,39.624999,38.5,1.208434,30973600
1990/8/17,38.5,38.5,35.75,1.145658,61527200
1990/8/20,36.500001,37.5,36.249999,1.156993,18765600
1990/8/21,35.75,36.75,35.249999,1.141252,40261200
1990/8/22,36.999999,36.999999,34.875,1.105833,30679600
1990/8/23,34.25,35,33.499999,1.086157,35924000
1990/8/24,35.249999,36,34.750001,1.11764,18354000
1990/8/27,36.75,37.999999,36.249999,1.188476,29366400
1990/8/28,37.5,38.375,37.250001,1.200282,20048000
1990/8/29,37.999999,38.125001,36.75,1.172734,37732800
1990/8/30,37.250001,37.5,36,1.141252,30648800
1990/8/31,36,37.250001,36,1.164864,24864000
1990/9/4,36.500001,37.5,36.500001,1.164864,20686400
1990/9/5,37.250001,37.250001,35.75,1.133381,16013200
1990/9/6,35.500001,36,35.249999,1.12551,21907200
1990/9/7,35.500001,36.75,35.125,1.145187,14543200
1990/9/10,36.999999,36.999999,35.75,1.12551,18995200
1990/9/11,36,36.124999,33.750001,1.070415,44567600
1990/9/12,34.499999,34.499999,33.499999,1.070415,25102000
1990/9/13,34.499999,34.750001,33.000001,1.062545,24315200
1990/9/14,33.499999,34.25,33.25,1.070415,28478800
1990/9/17,34,35.249999,33.499999,1.062545,19418000
1990/9/18,33.750001,33.750001,33.000001,1.050739,31152800
1990/9/19,33.25,33.750001,32.000001,1.023191,45614800
1990/9/20,32.25,32.25,31.250001,0.995644,25233600
1990/9/21,32.000001,32.5,30.999999,0.991708,38466400
1990/9/24,31.5,31.5,29.75,0.952355,34624800
1990/9/25,30.5,30.75,29.249999,0.944484,39488400
1990/9/26,29.999999,30.5,29.75,0.936613,23534000
1990/9/27,29.999999,30.5,28,0.889389,35585200
1990/9/28,28.500001,29,27.25,0.913001,44010400
1990/10/1,29.500001,30.999999,29.249999,0.960226,38914400
1990/10/2,30.999999,32.000001,29.500001,0.932678,67746000
1990/10/3,29.75,29.75,26.75,0.850036,67060000
1990/10/4,26.75,28,26.25,0.881518,53373600
1990/10/5,27,28.75,27,0.881518,24872400
1990/10/8,28.75,29.249999,28.249999,0.916937,15383200
1990/10/9,28.500001,29,27.749999,0.881518,30144800
1990/10/10,27.25,28,25.999999,0.834294,36976800
1990/10/11,26.75,27.875,25.5,0.873648,51494800
1990/10/12,28.249999,28.500001,27,0.889389,57162000
1990/10/15,28.500001,28.75,26.625,0.873648,50254400
1990/10/16,27.5,27.5,24.249999,0.78707,76308400
1990/10/17,25.25,26.500001,25,0.834294,77266000
1990/10/18,26.500001,28.75,26.500001,0.89726,78750000
1990/10/19,31.250001,31.749999,30.250001,0.987773,233433200
1990/10/22,31.5,31.5,30.5,0.979902,63184800
1990/10/23,30.999999,31.5,30.250001,0.975967,41762000
1990/10/24,30.75,30.999999,29.999999,0.960226,35456400
1990/10/25,30.250001,31.250001,29.625,0.944484,38365600
1990/10/26,29.75,31.250001,29.75,0.944484,33549600
1990/10/29,30.250001,30.5,29.75,0.940549,30870000
1990/10/30,29.75,30.75,28.875,0.95629,24511200
1990/10/31,30.5,31.874999,30.250001,0.968096,37189600
1990/11/1,30.5,30.999999,29.75,0.960226,22663200
1990/11/2,30.5,32.375,30.5,0.999579,37153200
1990/11/5,32.25,33.499999,32.000001,1.046803,46118800
1990/11/6,33.499999,34.499999,33.25,1.054674,46191600
1990/11/7,33.499999,33.750001,32.624999,1.046803,50744400
1990/11/8,33.000001,35,33.000001,1.086157,49812000
1990/11/9,35,35.75,34.499999,1.11764,49557200
1990/11/12,35.500001,36.75,35.249999,1.141252,36262800
1990/11/13,36.249999,36.500001,35.75,1.133381,35487200
1990/11/14,35.75,37.250001,35.75,1.164864,47686800
1990/11/15,36.75,36.999999,35.500001,1.133381,40443200
1990/11/16,35.75,36,34.750001,1.109536,45752000
1990/11/19,35.500001,36.375001,35.249999,1.149021,55977600
1990/11/20,36.500001,36.75,35.249999,1.121381,38407600
1990/11/21,35.249999,36.249999,34.750001,1.141124,30802800
1990/11/23,36.249999,36.999999,36,1.149021,13300000
1990/11/26,36,36.999999,36,1.160866,20364400
1990/11/27,36.999999,38.250001,36.75,1.184558,41146000
1990/11/28,37.75,38.5,36.75,1.160866,43727600
1990/11/29,36.999999,36.999999,36.249999,1.160866,31676400
1990/11/30,36.249999,37.250001,36.249999,1.160866,30377200
1990/12/3,37.250001,38.250001,36.999999,1.2043,41350400
1990/12/4,37.5,38.749999,37.5,1.216146,38038000
1990/12/5,38.5,40.25,37.874999,1.267477,54597200
1990/12/6,41.25,41.750001,40.499999,1.303013,133061600
1990/12/7,41,42.75,41,1.342499,82415200
1990/12/10,42.249999,42.500001,41.499999,1.318808,62647200
1990/12/11,41.25,41.499999,40.000001,1.263528,86970800
1990/12/12,39.749999,40.000001,39.000001,1.251683,60589200
1990/12/13,39.5,41,39.5,1.287219,40182800
1990/12/14,40.25,40.499999,39.5,1.25958,21767200
1990/12/17,39.000001,40.499999,39.000001,1.267477,32776800
1990/12/18,41,42.500001,40.750001,1.334602,55246800
1990/12/19,42.500001,42.500001,41.125,1.322756,35165200
1990/12/20,41.25,44.5,41.25,1.389881,100268000
1990/12/21,44.250001,45.250001,43.500001,1.421469,86534000
1990/12/24,44.75,44.999999,43.999999,1.389881,14680400
1990/12/26,43.999999,44.250001,43,1.381984,25768400
1990/12/27,43.249999,43.999999,43.249999,1.374087,24413200
1990/12/28,43.249999,43.500001,42.75,1.358293,15982400
1990/12/31,43,43.249999,42.75,1.358293,11068400
1991/1/2,42.75,43.999999,42,1.374087,38746400
1991/1/3,43.500001,44.250001,43,1.358293,37545200
1991/1/4,43,44.250001,43,1.36619,35380800
1991/1/7,43,45.250001,43,1.36619,77700000
1991/1/8,43.75,43.875,42.500001,1.36619,54672800
1991/1/9,44.250001,46.000001,43.75,1.429366,116816000
1991/1/10,45.749999,47.25,45.749999,1.488594,108830400
1991/1/11,47.000001,47.25,46.000001,1.484646,76913200
1991/1/14,46.000001,46.749999,46.000001,1.460954,52710000
1991/1/15,46.5,46.749999,46.000001,1.476748,48014400
1991/1/16,47.000001,50,46.749999,1.571513,97658400
1991/1/17,52.5,52.749999,49,1.618895,147918400
1991/1/18,48.750001,50.75,48.499999,1.587307,235810400
1991/1/21,49.75,51.5,49.75,1.603101,81076800
1991/1/22,50.999999,52.5,50.500001,1.618895,106932000
1991/1/23,51.250001,52.250001,50.999999,1.634689,61065200
1991/1/24,51.5,52.749999,51.5,1.646535,58483600
1991/1/25,51.999999,53.624999,51.999999,1.689969,55952400
1991/1/28,53.25,55.25,53.25,1.721557,68370400
1991/1/29,54.25,54.499999,52.250001,1.697866,53888800
1991/1/30,53.25,55.750001,53.25,1.753145,84193200
1991/1/31,55.499999,56,54.750001,1.753145,60648000
1991/2/1,55.499999,57.875003,55.499999,1.761042,111137600
1991/2/4,55.750001,56,55,1.745248,66962000
1991/2/5,55.25,57.999999,54.750001,1.824219,89028800
1991/2/6,57.75,58.249998,56.499998,1.796579,55641600
1991/2/7,57.000003,58.750003,55.750001,1.824219,130043200
1991/2/8,57.500001,60.249997,57.500001,1.891344,78388800
1991/2/11,59.999998,61.499999,59.749999,1.938726,80757600
1991/2/12,61.000001,61.25,59.374997,1.895292,56187600
1991/2/13,59.999998,60.249997,57.999999,1.895292,63887600
