datetime,open,high,low,close,volume,adj_price
1990/4/6,106.25,106.375,105.25,105.875,3009200,16.878097
1990/4/9,105.625,105.875,105.25,105.5,3131200,16.818316
1990/4/10,105.25,106.375,105.125,105.875,3739200,16.878097
1990/4/11,106.125,106.5,105.875,106.375,2580800,16.957805
1990/4/12,107.125,108,107,107.125,3686400,17.077366
1990/4/16,110,111.25,110,110.875,16482800,17.675174
1990/4/17,110.5,111.25,109.875,111.125,7657600,17.715027
1990/4/18,110.875,110.875,109.5,109.875,6124000,17.515758
1990/4/19,109.5,110.25,109.125,109.125,6110000,17.396197
1990/4/20,109.375,109.5,108.25,109.375,6626000,17.436051
1990/4/23,109,109.5,108.625,109.375,5400800,17.436051
1990/4/24,109.625,110.375,108.875,108.875,5226400,17.356343
1990/4/25,109.25,110.125,109.125,109.375,4693600,17.436051
1990/4/26,109.875,110,108.5,108.75,5529200,17.336416
1990/4/27,109,109,107.375,107.375,3926400,17.11722
1990/4/30,107,109.25,107,109,6451600,17.37627
1990/5/1,109.5,109.625,107.875,108,4664800,17.216855
1990/5/2,108,109.125,108,109.125,4866400,17.396197
1990/5/3,109.5,110.125,109.125,109.25,6674800,17.416124
1990/5/4,108.625,110.625,108.25,110.5,6049200,17.812678
1990/5/7,110.5,111.375,110.25,110.5,5220800,17.812678
1990/5/8,110.5,111,110.375,110.75,4962000,17.852978
1990/5/9,110.75,111.25,110.375,111.25,4860000,17.933578
1990/5/10,111.375,112.875,111.25,112.375,7253200,18.114929
1990/5/11,113.625,114.5,113,114,10189200,18.37688
1990/5/14,114.125,115.5,114,114.25,9242400,18.41718
1990/5/15,113.875,115.625,113.75,115.625,5944000,18.638831
1990/5/16,115.25,115.75,114.625,115.375,7046000,18.598531
1990/5/17,115.875,116.25,115.125,116.125,6090400,18.719432
1990/5/18,115.875,116.25,115.25,115.375,7080800,18.598531
1990/5/21,115.125,117.375,115.125,117,6942400,18.860482
1990/5/22,117.5,117.75,116.625,117.75,7734400,18.981383
1990/5/23,117.5,118.75,117.25,118.75,6812400,19.142583
1990/5/24,118.75,118.875,117.875,118.75,5781200,19.142583
1990/5/25,117.625,118,116.125,116.25,4594800,18.739582
1990/5/29,117,119.875,116.75,119.75,7840400,19.303784
1990/5/30,120,122.125,119.625,120.875,11428000,19.485135
1990/5/31,119.75,120.875,119.5,120,7963600,19.344084
1990/6/1,120.5,120.75,119,119.5,6168000,19.263484
1990/6/4,119.5,120.875,119.25,120.375,5193200,19.404535
1990/6/5,120.5,121.875,120.125,120.75,9407600,19.464985
1990/6/6,120.375,122.25,120.375,120.625,6174000,19.444835
1990/6/7,121.25,121.5,119.75,120.625,5949600,19.444835
1990/6/8,120.875,120.875,118.625,118.75,5725200,19.142583
1990/6/11,118.625,120.25,118.625,119.875,4326800,19.323934
1990/6/12,120.125,120.875,119.25,120.25,5504800,19.384384
1990/6/13,120.5,122.125,120.25,121.375,8964000,19.565735
1990/6/14,121.25,121.875,120.125,120.875,6793200,19.485135
1990/6/15,120.375,121.25,120.125,120.375,8447600,19.404535
1990/6/18,120.25,120.75,118.625,118.625,5968000,19.122433
1990/6/19,118.875,119.125,117.875,118.75,5782400,19.142583
1990/6/20,118.75,119.125,117.25,118,4044800,19.021683
1990/6/21,118,119.125,117.5,119.125,4004800,19.203034
1990/6/22,119,119.5,116.25,116.25,4800400,18.739582
1990/6/25,116.625,117.25,116.5,116.625,4504800,18.800032
1990/6/26,117.625,118,116.5,116.75,5017600,18.820182
1990/6/27,116.875,118.125,116.75,118,4606800,19.021683
1990/6/28,118.25,118.375,117.5,117.625,3215200,18.961233
1990/6/29,117.625,118.125,117.375,117.5,3414800,18.941083
1990/7/2,117.5,118.75,117.375,118.5,3664000,19.102283
1990/7/3,118.625,118.75,117.625,117.625,2336400,18.961233
1990/7/5,117.5,117.625,116.875,117.375,3399200,18.920932
1990/7/6,117.125,118.5,117,118,2834400,19.021683
1990/7/9,118.125,119.25,117.875,119,3667200,19.182884
1990/7/10,119.25,119.75,117.75,117.75,4976000,18.981383
1990/7/11,118.125,119.25,117.875,119.125,4100000,19.203034
1990/7/12,119,120.375,118.75,120,6945600,19.344084
